F1	F2	A1
tourbillonner	[turbijɔne]	v.i. 形成旋涡，盘旋，旋转
tourisme	[turism]	n.m. 旅游业
touriste	[turist]	n. 旅游者
touristique	[turistik]	adj. 旅游的，游览的
tourmenter	[turmɑ̃te]	v.t. 折磨，使痛苦，使苦恼，使忧虑
tournage	[turnaʒ]	n.m. (电影)拍摄
tournant	[turnɑ̃, -t]	n.m. 拐角，拐弯处，转折点
tourne disque	[]	n.m. 电唱机
tournée	[turne]	n.j. 巡游，转圈
tourner	[turne]	v.i. 拐弯，转动，运转，旋转
tourner autour du pot	[]	转弯抹角，绕圈子
aggraver	[sagrave]	v.t. 加重，使恶化
agile	[aʒil]	adj. 灵活的，敏捷的
agir(s')	[]	v.pr. 做，起作用，表现
agitation	[aʒitasjɔ̃]	n.f. 摇动，激动，骚乱
agité ^e	[]	adj. 动荡的，不安的
agneau	[aɲo]	n.m. 羊羔
agonie	[agɔni]	n.f. 临终，垂危
agrandir	[agrɑ̃dir]	v.t. 增长，扩大
agréable	[agreabl]	adj. 枢意的
agréer	[agree]	v.t. 同意，赞成
agressif, ve	[]	adj. 好斗的，咄咄逼人的
agression	[agrεsjɔ̃]	n.f. 侵犯，袭击
agreste	[agrεst]	adj. 田野的，乡村的
agriculteur,trice	[]	n. 农业劳动者
agripper(s')	[]	v.pr. 攫取，紧紧抓住
agronome	[agrɔnɔm]	n.m. 农学家
ahlation	[ablasjɔ̃]	n.f. 切除(术)
ahuri, e	[]	adj.,n. 惊悍的(人)
aide	[εd]	n.f. 帮助，救济，助手
aide de camp	[εddəkɑ̃]	n.m. (军)副官
bouger	[buʒe]	v.t. 移动，走动
bougie	[buʒi]	n.f. 蜡烛
bouillabaisse	[bujabεs]	n.f. 普罗旺斯鱼汤
bouillir	[bujir]	v.i. 沸腾，激奋
bouillon	[bujɔ̃]	n.m. 水泡，汤
bouillonner	[bujɔne]	v.i. 沸腾，激奋
boulanger, ère	[]	n. 面包师
boulangerie	[bulɑ̃ʒri]	n.f. 面包店，面包业
boule	[bul]	n.f. 球
bouleau	[bulo]	n.m. 样树
boulevard	[bulvar]	n.m. 大街，林荫大道
bouleversé, e	[]	adj. 乱七八糟的（场地）
bouleversement	[bulvεrsəmɑ̃]	n.m. 骚乱，动荡
bouleverser	[bulvεrse]	v.t. 弄乱
boulot	[bulo]	n.m. (俗)工作
bouquet	[bukε]	n.m. 花束，最后放的,最精彩的焰火
bouquin	[bukɛ̃]	n.m. 书(籍)
bouquiniste	[bukinist]	n. 旧书商
bourgeois ,e	[]	n. 有产者
Bourgogne	[burgɔɲ]	布尔戈涅地区
chanteur,se	[]	n. 歌唱家，歌手
chantier	[∫ɑ̃tje]	n.m. 工地，造船厂，作业区
chantre	[∫ɑ̃tr]	n.m. 歌手，颂扬者
chapeau	[∫apo]	n.m. 帽子
chapelle	[∫apεl]	n.f. 小教堂
chapelure	[∫aplyr]	n.f. 面包粉
chapitre	[∫apitr]	n.m. 章节
chaque	[∫ak]	adj. 每个
charabia	[∫arabja]	n.m. 难懂的话
charbon	[∫arbɔ̃]	n.m. 木炭，煤
charcuterie	[∫arkytri]	n.f. 熟肉食品店
charcutier,ère	[]	n. 猪肉两
charge	[∫arʒ]	n.f. 负担，负荷
chariot	[∫arjo]	n.m. 小推车
charlatan	[∫arlatɑ̃]	n.m. 江湖医生，走访郎中
charmant,e	[]	adj. 迷人的
charme	[∫arm]	n.m. 魔力，魅力
charnel,le	[]	adj. 肉体的，物质方面的
charpente	[∫arpɑ̃t]	n.f. 屋架
charrue	[∫ary]	n.f. 梨
déplorer	[deplɔre]	v.t. 悲叹，惋惜
déporté, e	[]	adj. 被故逐的，终身流放的
déposer	[depoze]	v.t. 存放，放下，提交
dépositaire	[depozitεr]	n. 受托人
déposition	[depozisjɔ̃]	n.f. 证言、革职
dépourvu,e de	[]	adj. 缺乏…的
dépression	[deprεsjɔ̃]	n.f. 下落，消沉
déprimant, e	[]	adj. 使人消沉的，令人丧气的
déprimer	[deprime]	v.t. 使消沉
depuis	[dəpɥi]	prép. 自……以来，从…以后
depuis que	[dəpɥikə]	loc.conj. 自从……以后
député	[depyte]	n.f. 使节，众议员
déraciner	[derasine]	v.t. 根除；连根拔出
dérangement	[derɑ̃ʒmɑ̃]	n.m. 打搅，紊乱，弄乱
déranger	[derɑ̃ʒe]	v.t. 打搅，打扰，弄乱
dérision	[derizjɔ̃]	n.f. 嘲笑
dérisoire	[derizwar]	adj. 嘲弄入的，微个足道的
dernier , ère	[]	adj. 最后的，上一次的
dérober	[derɔbe]	v.t. 窃取，使避开
déroulé, e	[]	adj. 展开的
en nature	[]	loc.adv. 以(用)实物
en pâmoison	[]	loc.adv. 单调重复地
en partie	[]	loc.adv. 部分地
en plein vent	[]	loc.adv. 在露天
en pleine forme	[]	loc.adv. 精神健旺
en plus	[]	loc.adv. 而且，并且
en plus de	[]	loc.prêp. 除……以外
en public	[]	loc.adv. 在公开场合
en quenouille	[]	loc.adv. 受女人控制
en raison de	[]	loc.prêp. 鉴于，根据，由于
en revanche	[]	loc.adv. 相反地，作为报答
en route	[]	loc.adv. 在路上
en sa manière	[]	loc.adv. 以他的方式
en sécurité	[]	loc.adv. 安全地
en tant que	[ɑ̃tɑ̃kə]	loc.conj. 由于，作为
en tout cas	[]	loc.adv. 无论如何
en toute hâte	[]	loc.adv. 急急忙忙地
en toutes choses	[]	loc.adv. 无论如何
en un mot	[]	loc.adv. 一句话，总而言之
en venir à	[]	loc.verb. 终于，最终
fonder	[fɔ̃de]	v.t. 创办，建立
fondre	[fɔ̃dr]	v.t. 融化，熔化
fonds	[fɔ̃]	n.m. 资金，地产
fondue	[fɔ̃dy]	n.f. 干酪火锅，火锅
fonte	[fɔ̃t]	n.f. 铸造，融化，溶解物
forain? e	[]	adj.,n. 外来的，市集的，卖艺者
forçat	[fɔrsa]	n.m. 苦役犯，流刑犯
force	[fɔrs]	n.f. 力，力量
forcer	[fɔrse]	v.t. 强力夺取，强迫，用力弄开
forces aériennes	[]	n.f. 空军
forer	[fɔre]	v.t. 穿孔，钻孔
forestier, ère	[]	adj. 森林的，看管森林的
forêt	[fɔrε]	n.f. 森林
forfait	[fɔrfε]	n.m. 包费用，承包，重罪
forfanterie	[fɔrfɑ̃tri]	n.f. 吹牛，夸口
forge	[fɔrʒ]	n.f. 铁匠铺
forger	[fɔrʒe]	v.t. 打铁.锻造
formalité	[fɔrmalite]	n.f. 手续，程序
format	[fɔrma]	n.m. 大小，尺寸，规格
formation	[fɔrmasjɔ̃]	n.f. 培训，构成，建立
intelligence	[ɛ̃tεliʒɑ̃s]	n.f. 智慧
Intelligent , e	[]	adj. 聪明的
intensif, ve	[]	adj. 集中的，强烈的，紧张的
intensité	[ɛ̃tɑ̃site]	n.f. 强度，激烈
intention	[ɛ̃tɑ̃sjɔ̃]	n.f. 意图，意愿
interdiction	[ɛ̃tεrdiksjɔ̃]	n.f. 禁止
interdire à qqn de	[]	v.i. 禁止某人做某事
interdit, e	[]	adj. 被禁止的
intéressant, e	[]	adj. 精彩的，有趣的，引人瞩目的
intéresser (s')	[]	v.pr. 关心，感兴趣
intérêt	[ɛ̃terε]	n.m. 利息，利益，兴趣
intérieur ,e	[]	adj. 内部的，里边的
intérieur de (à	[]	loc.prêp 在……里面，在……的内部
interlocuteur, trice	[]	n. 对话者，交谈者
intermédiaire	[ɛ̃tεrmedjεr]	adj.,n. 中间的，中间阶段，中间人，调停人
interminable	[ɛ̃tεrminabl]	adj. 无休止的，没完的
internationale	[ɛ̃tεrnasjɔnal]	adj. 国际的
internaute	[ɛ̃tεrnot]	n. 网民，网上冲浪者
interpellé,e	[]	adj. 被询问的
interphone	[ɛ̃tεrfɔn]	n.m. 内线电话机
messe	[mεs]	n.f. 弥撒
mesure	[məzyr]	n.f. 尺寸
mesurer	[məzyre]	v.f. 度量，计量
métal	[metal]	n.m. 金属
métallurgie	[metalyrʒi]	n.f. 冶金工业，冶金学
météo	[meteo]	n.f. 天气预报
météorite	[meteɔrit]	n.f. 陨星
météorologique	[meteɔrɔlɔʒik]	adj. 气象(学)的
méthane	[metan]	n.m. 天然气，甲烷
méthode	[metɔd]	n.f. 方式，方法，作风
métier	[metje]	n.m. 职业，技巧，职责
métis	[metis]	n.m.pl. 菜肴，盘装菜
mètre	[mεtr]	n.m. 米，公尺
mètre carré	[]	n.m. 平方米
métro	[metro]	n.m. 地铁
métropole	[metrɔpɔl]	n.f. 大都会，首府，某种活动的中心
metteur en scène	[]	n.m. 导演
mettre	[mεtr]	v.t. 放，置于
mettre à (se)	[]	v.pr. 开始
mettre à table(se)	[]	入席，落座
permettre	[pεrmεtr]	v.t. 允许，准许
permis de conduire	[]	n.m. 驾车证
permission	[pεrmisjɔ̃]	n.f. 允许，准许
perpendicula i re	[]	adj. 竖的，与……垂直的，与……成角的
perroquet	[pεrɔkε]	n.m. 鹦鹉
persienne	[pεrsjεn]	n.f. 百叶窗
persil	[pεrsi]	n.m. 香芹，欧芹
persister	[pεrsiste]	v.i. 坚持，固执
personnage	[pεrsɔnaʒ]	n.m. 人物，角色
personnalité	[personalite]	n.f. 人格，品格，个性，个人
personne	[pεrsɔn]	n.f. 人
personnel , le	[]	adj. 人员的，职员的
personnellement	[pεrsɔnεlmɑ̃]	adv. 个人地，亲自
perspective	[pεrspεktiv]	n.f. 前景，展望，景色
perspicace	[pεrspikas]	adj. 洞察力强的，敏锐的
persuadé ,e	[]	adj. 说服的
persuader	[pεrsɥade]	v.pr. 相信，以为
perte	[pεrt]	n.f. 丧失，浪费，损耗
perturbation	[pεrtyrbasjɔ̃]	n.f. 扰乱，动荡，错乱
perturber	[pεrtyrbe]	v.t. 扰乱，骚扰
remise	[r(ə)miz]	n.f. 放回，送交，延期，折扣，免除
remodeler	[rəmɔdle]	v.t. 改造，改变，重新塑造
remontée	[rəmɔ̃te]	n.f. 升高，再上升
remonter	[r(ə)mɔ̃te]	v.i. 再上升，溯源而上，重新登上，重新装配
remords	[r(ə)mɔr]	n.m. 内疚，悔恨
rempart	[rɑ̃par]	n.m. 城墙，围墙，壁垒，防御
remplacement	[rɑ̃plasmɑ̃]	n.m. 替换，代替
remplacer	[rɑ̃plase]	v.t. 替换，代替，取代，更换
rempli, e	[]	adj. 充满的，满满的
remplir	[rɑ̃plir]	v.t. 填写，充满
remuer	[rəmɥe]	v.f. 移动，摇摆，搅动
rémunération	[remynerasjɔ̃]	n.f. 报酬，酬劳
rémunérer	[remynere]	v.t. 酬报，酬劳
rencontre	[rɑ̃kɔ̃tr]	n.f. 遇见，碰到，会见，会合
rencontrer	[rɑ̃kɔ̃tre]	v.t. 碰见，相见，遭受到
rendez-vous	[rɑ̃devu]	n.m. 约会
rendre	[rɑ̃dr]	v.t. 归还，交回
rendre compte de (se)	[]	v.pr. 体会到，注意到，觉察，了解
renfermer	[rɑ̃fεrme]	v.t. 把……重新关住，隐藏，限制
renfoncement	[rɑ̃fɔ̃smɑ̃]	n.m. 凹陷
silence	[silɑ̃s]	n.m. 寂静，宁静，沉默
silencieux,se	[]	adj. 安静的，沉默的，暗暗的
silex	[silεks]	n.m. 火石
silhouette	[silwɛt]	n.f. 轮廓，外形，侧影，剪影
sillon	[sijɔ̃]	n.m. 条纹，条痕，耕地，田野
sillonner	[sijɔne]	v.t. 划出条纹，耕作
similitude	[similityd]	n.f. 相似，类似
simple	[sɛ̃pl]	adj. 简单的
simplicité	[sɛ̃plisite]	n.f. 单一，简朴，爽直
sincère	[sɛ̃sεr]	adj. 真挚的，诚恳的，真诚的
singe	[sɛ̃ʒ]	n.m. 猴子
sinistré, e	[]	adj.,n. 受灾的，灾民
sinon	[sinɔ̃]	conj. 否则
sire	[sir]	n.m. 老爷，先生
sirop	[siro]	n.m. 糖浆
site	[sit]	n.m. 风景点，工地
site internet	[]	n.m. 互联网网址
sitôt que	[]	loc.conj. 一……就……
situation	[sitɥasjɔ̃]	n.f. 形势，状况，位置，处境
situer (se)	[]	v.pr. 位于，处于
tourner qqn en	[]	嘲弄某人，嘲笑某人
tournevis	[turnəvis]	n.m. 螺丝刀
tournoi	[turnwa]	n.m. 联赛，竞赛，比赛
tournure	[turnyr]	n.f. 表达方式，词组，短语，趋势
tourteau	[turto]	n.m. 圆形大面包
tourterelle	[turtərεl]	n.f. 斑鸠
tousser	[tuse]	v.t. 咳嗽
tout à coup	[tutaku]	loc.adv. 突然地
tout à fait	[]	loc.adv. 完全地
tout d'abord	[]	loc.adv. 首先
tout de même	[]	loc.adv. 仍然，还是
tout de suite	[]	loc.adv. 立即
tout droit	[]	loc.adv. 笔直地
toutefois	[tutfwa]	adv. 然而，可是
toxique	[tɔksik]	adj.,n. 有毒的;毒物
trac	[trak]	n.m. 害怕，怯阵，怯场
tracas	[traka]	n.m. 忙乱，忧虑，烦恼
tracer	[trase]	v.t. 画，标出，描绘
traction	[traksjɔ̃]	n.f. 牵引，前轴驱动汽车
tradition	[tradisjɔ̃]	n.f. 传统
aider	[ede]	v.t. 帮助，援助
aïeul,e	[]	n.pl. 祖父，祖母
aigu, aiguë	[]	adj. 尖的， (转)尖锐的
aiguille	[egɥij]	n.f. 针，指针，缝衣针
aiguillon	[egɥijɔ̃]	n.m. 刺
aiguiser	[egize]	v.t. 磨快
ail	[aj]	n.m. 大蒜
aile	[εl]	n.f. 翅膀
ailleurs	[ajœr]	adv. 别处
aimable	[εmabl]	adj. 可爱的，亲切的
aimer	[]	v.t 爱，喜欢，喜爱
aimer mieux	[εmemjø]	v.t. 偏爱
aïné,e	[]	n. 长子(女)，老大，年龄较大的人
ainsi	[ɛ̃si]	adv. 这样，如此
ainsi que	[ɛ̃sikə]	loc.conj. 以及
air	[εr]	n.m. 空气，神态
Air France	[]	法航
airain	[εrɛ̃]	n.m. 青铜
aisanse	[εzɑ̃s]	n.f. 自在，觅裕
aisé,e	[]	adj. 富裕的，宽格的
bourguignon, ne	[]	adj. 布尔戈涅地区印
bourrer	[bure]	v.t. 装填，灌塞
bourse	[burs]	n.f. 奖学金
bousculer	[buskyle]	v.t. 弄乱
bout	[bu]	n.m. 端部，尽头
bouteille	[butεj]	n.f. 酒瓶， (细颈)瓶
boutique	[butik]	n.f. 商店，店铺
bouton	[butɔ̃]	n.m. 钮扣，校
boutonner	[butɔne]	v.i. 扣钮扣，发芽
bracelet	[braslε]	n.m. 手镯
braderie	[bradri]	n.f. 旧货集市
braise	[brεz]	n.f. 火炭
branche	[brɑ̃∫]	n.f. 树枝，分支
brancher	[brɑ̃∫e]	v.i. 联接，接通
braquer	[brake]	v.t. 凝视，瞄准
bras	[bra, brɑ]	n.m. 臂，胳膊
brassage	[brasaʒ]	n.m. 钎焊
brasse	[bras]	n.f. 蛙泳
brasserie	[brasri]	n.f. 啤酒厂，啤酒店
brave	[brav]	adj. 勇敢的，正直的
chasse	[∫as]	n.f. 打猎
chasse à courre	[∫asakur]	n.f. 围猎
chasse-croisé	[∫asekrwaze]	n.m. 你来我往(地位,职位等的)对调
chasser	[∫ase]	v.t. 打猎
chasseresse	[∫asrεs]	n.f. 女猎人
chassieux, se	[]	adj. 有眼屎的
chat	[∫a]	n.m. 猫
châtain	[∫atɛ̃]	adj. 栗色的，褐色的
châtain clair	[]	n.m. 淡褐色
château	[∫ato]	n.m. 城堡，古堡
châtier	[∫ɑtje]	v.t. 惩罚
châtiment	[∫atimɑ̃]	n.m. 惩罚
châtré, e	[]	adj. 去势的，阉割的
chaud, e	[]	adj. 热的，暖的，烫的
chaudière	[∫odjεr]	n.f. 锅炉， (取暖用的)锅炉
chauffage	[∫ofaʒ]	n.m. 加热，取暖，取暖设备
chauffage au mazout	[]	n.f. 烧柴油的取暖设备
chauffer	[∫ofe]	v.t. 烧热，鼓舞
chauffeur	[∫ofœr]	n.m. 汽车司机，司炉
chaumière	[∫omjεr]	n.f. 小屋，茅屋
déroulement	[derulmɑ̃]	n.m. 展开，进展
dérouler(se)	[]	v.prép. 展现，发生
derrière	[dεrjεr]	prép. 在…后边
des	[de]	art.indéf. 一些
dès	[dε]	prép. 从……起
des hauts et des bas	[]	toc.adv. 时高时低，有高潮有低落
dès lors	[dεlɔr]	loc.adv. 从那时起
dès maintenant	[]	toc.prép. 从现在起
dès que	[dεkə]	loc.conj. 一…就…
désabusc,e	[dezabyze]	adj. 醒悟了的
desapprouver	[dezapruve]	v.t. 不赞成
désarmement	[dezarməmɑ̃]	n.m. 裁军，解除武装
désavouer	[dezavwe]	v.t. 否认，取消
desceller	[desεle]	v.t. 开封，拆封
descendre	[desɑ̃dr]	v.ù 下来，下去，下榻
descente	[desɑ̃t]	n.f. 下降，斜坡，下坡道
description	[dεskripsjɔ̃]	n.f. 描绘，描述
désenchantement	[dezɑ̃∫ɑ̃tmɑ̃]	n.m. 幻想破灭，解除魔法
déséquilibrer	[dezekilibre]	v.t. 使失去平衡，使精神失常
désert	[dezεr, -t]	n.m. 沙漠
en vigueur	[ɑ̃vigœr]	loc.prép. 现行的，通用的
en vue de	[]	loc.prép. 为了，目的在于……
encadrer	[ɑ̃kadre]	v.t. 规范，环绕，把……圈入……
encaissé, e	[]	adj. 库存的
encart	[ɑ̃kɑr]	n.m. 插页，附页
enceinte	[ɑ̃sɛ̃t]	n.f. 围墙，规定区域，怀孕的
encens	[ɑ̃sɑ̃]	n.m. 香炉，奉承
encenser	[ɑ̃sɑ̃se]	v.t. 向……奉香，极力恭维
encensoir	[ɑ̃sɑ̃swar]	n.m. 香炉
enchaîné, e	[]	adj. 连贯的
enchanté, e	[]	adj. 高兴的
enchère	[ɑ̃∫εr]	n.f. 拍卖，出高价
enchevêtrer	[ɑ̃∫(ə)vεtre]	v.t. 使混乱
encombré, e	[]	adj. 阻塞的，拥挤的
encombrer	[sɑ̃kɔ̃bre]	v.t. 阻塞，充满
encore	[ɑ̃kɔr]	adv. 还，尚
encre	[ɑ̃kr]	n.f. 墨水，油墨
encroûté, e	[]	adj. 结硬皮的， (转)墨守成规的
encyclopédie	[ɑ̃siklɔpedi]	n.f. 百科全书
endommager	[ɑ̃dɔmaʒe]	v.t. 损害，损坏
forme	[fɔrm]	n.f. 形状，形态
formel, le	[]	adj. 肯定的，明确的，外表的
former	[fɔrme]	v.t. 培养，形成，组成
formidable	[fɔrmidabl]	adj. 好极了，令人叫绝的
formol	[fɔrmɔl]	n.m. 甲醛的俗称
formulaire	[fɔrmylεr]	n.m. 表格，程式汇编集
formule	[fɔrmyl]	n.f. 公式，格式，样式
fort	[fɔ:r]	adv. 很，非常，有力地
fort (en)	[]	adj. 擅长
fort,e	[fɔrt]	adj. 非常的，很
forteresse	[fɔrtərεs]	n.f. 要塞，堡垒
fortifier	[fɔrtifje]	v.t. 加强，使强壮
fortune	[fɔrtyn]	n.f. 财产，运气
fortuné,e	[fɔrtyn]	adj. 富裕的，有运气的
fossé	[fose]	n.m. 坑，沟，裂痕
fossoyeur	[foswajœr]	n.m. 掘墓人
fou	[fu, fɔl]	n.m. (国际象棋中的)象
fou, fol, folle	[]	adj. 疯狂的，过多的
foudre	[fudr]	n.f. 雷电，霹雳
foudroyer	[fudrwaje]	v.f. 雷劈，击毙，摧毁
interprétation	[ɛ̃tεrpretasjɔ̃]	n.f. 解释，说明
interpréter	[sɛ̃tεrprete]	v.t. 解释，翻译
interprofessionnel, Le	[]	adj. (跨)行业的
interrogation	[ɛ̃tεrɔgasjɔ̃]	n.f. 询问，提问
interrogatoire	[ɛ̃tεrɔgatwar]	n.m. 审讯，审问
interroger	[ɛ̃tεrɔʒe]	v.t. 询问，提问
interrompre	[ɛ̃tεrɔ̃pr]	v.t. 打断，中断
interrompu, e	[]	adj. 中止的，不连贯的
intervenir	[ɛ̃tεrvənir]	v.i. 干涉，介入
interview	[ɛ̃tεrvju]	n.f. 采访
interviewer	[ɛ̃tεrvjuve]	v.t. 采访
intestin, e	[]	adj. 体内的，内，心的
intimité	[ɛ̃timite]	n.f. 亲密，亲切
intolérance	[ɛ̃tɔlerɑ̃s]	n.f. 不宽容，偏执
intoxiquer	[ɛ̃tɔksike]	v.t. 使毒化，腐蚀，中毒
intrépide	[ɛ̃trepid]	adj. 无畏的，不屈不挠的
intrigue	[ɛ̃trig]	n.f. 阴谋，诡计
introuvable	[ɛ̃truvabl]	adj. 找不到的，难觅的
intrus,e	[]	adj.,n. 擅闯入的(人)
intrusion	[ɛ̃tryzjɔ̃]	n.f. 侵人，擅入
mettre au courant	[]	知道
mettre au monde	[]	诞生
mettre en pièces	[]	打碎
mettre en scène	[]	上演，上映，筹备，举行
mettre en terre	[]	埋葬，掩埋，隐藏
mettre le prix aux choses	[]	正确评判
mettre sur écoute	[]	窃听
meuble	[mœbl]	n.m. 家具
meublé, e	[]	adj. 带家具的
meurtre	[mœrtr]	n.m.. 杀人，谋杀(案)，凶杀
mévente	[mevɑ̃t]	n.f. 生意萧条，亏本生意
miae en scène	[]	n.f. 上演，演出，摄制
micro	[mikro]	n.m. 麦克风
microbe	[mikrɔb]	n.m. 微生物
micro-chirurgie	[mikro∫iryrʒi]	n.f. 显微解剖法
microédition	[mikroedisjɔ̃]	n.f. 电脑排版
midi	[midi]	n.m. 中午
mie de pain	[]	n.f.. 面包心
miel	[mjεl]	n.m. 蜜，甜蜜
miette	[mjεt]	n.f. 面包屑，碎块儿，零头布
pesanteur	[pəzɑ̃tœr]	n.f. 沉重，重量，迟钝
peser	[pəze]	v.t. 称，称体重
pessimiste	[pesimist]	adj.,n. 悲观的;悲观主义者
pesticide	[pεstisid]	n.m. 杀虫剂，农药
pestilence	[pεstilɑ̃s]	n.f. 瘟疫，鼠疫，臭气
pétanque	[petɑ̃k]	n.f. (法国南部的)滚球游戏
pétard	[petar]	n.m. 鞭炮，爆竹
pétiller	[petije]	v.i. 噼里啪啦响，冒泡，闪耀
petit ,e	[]	adj. 小的
petit déjeuner	[ptideʒne]	n.m. 早饭
petit pois	[ptipwa]	n.m. 四季豆
petite cuillère	[]	n.f. 小匙
petite vérole	[]	n.f. 天花
petit-écran	[]	n.m. (电视机)小屏幕
petite-fille	[p(ə)titfij]	n.f. (外)孙女
petites annonces	[]	n.f.pl 小广告，小布告
petit-fils	[p(ə)tifis]	n.m. (外)孙子
pétition	[petisjɔ̃]	n.f. 请愿书
peton	[pətɔ̃]	n.m. 小脚，小东西
pétri ,e	[]	adj. 由……组成，充满……
renforcer	[rɑ̃fɔrse]	v.t. 加强，加固
renfort	[rɑ̃fɔr]	n.m. 增援，支援，增补
renommée	[rənɔme]	n.f. 名声，名誉，名望
renoncer ( à)	[]	v.i. 放弃，抛弃，停止
renouer	[rənwe]	v.t. 用……重新结好，恢复
renouveau	[rənuvo]	n.m. 复苏，回春，复兴，更新
renouvellement	[rənuvεlmɑ̃]	n.m. 更新，更换
rénovation	[renɔvasjɔ̃]	n.f. 革新，恢复
renseignentent	[rɑ̃sεɲmɑ̃]	n.m. 消息，情况，情报
renseigner	[rɑ̃seɲe]	v.t. 告诉，向……提供情况
rentable	[rɑ̃tabl]	adj. 有收益的，生利的，值得的
rentier, ère	[]	n. 靠银行利息、收益或年金生活者，食利者
rentrer	[rɑ̃tre]	v.i. 回来，回家
rentrer en scène	[]	重新登台，出现，显露
renverser	[rɑ̃vεrse]	v.t. 翻转，推翻，使混乱，使震惊
renvoyer	[rɑ̃vwaje]	v.t. 退回，送回，辞退，推迟
répandre	[repɑ̃dr]	v.t. 传播，撒，散发
réparation	[reparasjɔ̃]	n.f. 修理，修补，恢复，赔礼
réparer	[repare]	v.t. 修理，修补，补偿，纠正，挽救，恢复
répartir	[r(ə)partir]	v.i. 重新出发
sketch	[skεt∫]	n.m. 短小喜剧
ski	[ski]	n.m. 滑雪
skieur, se	[]	n. 滑雪者
slogan	[slɔgɑ̃]	n.m. 口号，标语
smicard, e	[]	n. 领取各行业应达到的最低工资的工人
SMIG	[smɔg]	(法国)各行业最低保证工资
SMLC	[smik]	(法国)各行业应达到的最低工资
smoking	[smɔkiŋ]	n.m. 无尾长礼服
snack-bar	[snakbar]	n.m. 快餐店
SNCF	[εsεnseεf]	法国国营铁路公司
sobriété	[sɔbrijete]	n.f. 节制，很少喝酒，朴实
soc	[sɔk]	n.m. 犁桦
sociable	[sɔsjabl]	adj. 易于交往的，能交际的，群居的
social, c	[]	adj. 社会的
société	[sɔsjete]	n.f. 社会，公司
socioculturel,le	[]	adj. 社会文化的
sociologie	[sɔsjɔlɔʒi]	n.f. 社会学
sociologique	[sɔsjɔlɔʒik]	adj. 社会学的
socle	[sɔkl]	n.m. 底座
sœur	[sœr]	n.f. 姐妹
traditionnel ,le	[]	adj. 传统的
traditionnellement	[tradisjɔnεlmɑ̃]	adv. 传统地
traduction	[tradyksjɔ̃]	n.f. 翻译，译文
traduire	[tradɥir]	v.t. 翻译，表达
trafic	[trafik]	n.f. 运输，交通，买卖，交易
trafiquant	[trafikɑ̃]	n.m. 奸商，不正当交易者
trafiquer	[trafike]	v. 贩卖，不止当交易，搀假
tragique	[traʒik]	adj. 悲剧的
train	[trɛ̃]	n.m. 火车
train de vie	[]	n.m. 生活排场，生活方式
trainée	[trεne]	n.f. 条痕，传播，蔓延
trait	[trε]	n.m. 连字符，投射，牵引，划线，线条
traite	[trεt]	n.f. 行程，汇票，挤奶
traité	[trεte]	n.m. 条约，论著，论文
Traitement	[trεtmɑ̃]	n.m. 处理，对待，治疗
traiter	[trεte]	v.t. 对待，治疗，处理，阐述
traiteur	[trεtœr]	n.m. (食物)外卖，熟食店，饭店老板
traits	[trε]	n.m.pl. 特点，特征
trajet	[traʒε]	n.m. 路程
tramontane	[tramɔ̃tan]	n.f. (地中海沿岸的)西北风
aisselle	[εsεl]	n.f. 腋窝
ajouter	[aʒute]	v.t. 加上，补充
ajouter foi à	[]	v.t.dir. 相信……
alarmant,e	[]	adj. 令人惊慌的，令人不安
alarme	[alarm]	n.f. 营报，掠慌
album	[albɔm]	n.m. 专辑，影集
alentour	[alɑ̃tur]	adv. 在周围
alerter	[alεrte]	v.t. 报警
algue	[alg]	n.f. 藻类
aliéné	[aljene]	n.m. 精神错乱的人
aligner	[saliɲe]	v.t. 排成行，整齐地写
aligner(s')	[]	v.pr. 向……看齐
aliment	[alimɑ̃]	n.m. 食物，食品
alimentation	[alimɑ̃tasjɔ̃]	n.f. 食品，食物
allaiter	[alεte]	v.t. 喂奶，哺乳
allant de ...à	[]	loc.prép. 从……至……
alléchant ,e	[]	adj. 诱人的
allée	[ale]	n.f. 小路，通道
allées et venues	[aleevny]	n.f.pl 来来往往
alléger	[aleʒe]	v.t. 减轻
bravo	[bravo]	interj. 好，妙
brebis	[brəbi]	n.f. 母羊，老实人
brèche	[brε∫]	n.f. 缺口
bref	[brεf, -εv]	adv. 简而言之
bref, ère	[]	adj. 简短的，简洁的
Bretagne	[]	布列塔尼（地区）
bretelle	[brətεl]	n.f. 背带
breton,ne	[]	adj. 布列塔尼的
bribe	[brib]	n.f. 碎片，片断
bricolage	[brikɔlaʒ]	n.m. 干家务琐事
brider	[bride]	v.t. 系，缚
brièvement	[brijεvmɑ̃]	adv. 简短地
brigand	[brigɑ̃]	n.m. 强盗，无放
brillamment	[brijamɑ̃]	adv. 出色地
brillant,e	[brijɑ̃tin]	adj. 闪光的
briller	[brije]	v.i. 发光，出众
brique	[brik]	n.f. 砖
briquet	[brikε]	n.m. 打火机
brise	[briz]	n.f. 微风
brisé ,e	[]	adj. 断裂的，破碎的
chaussée	[∫ose]	n.m. 马路
chaussure	[∫osyr]	n.f. 鞋子
chauve	[∫ov]	adj. 秃的
chauve-souri s	[]	n.f. 蝙蝠
chef	[∫εf]	n.m. 首长，主任
chef de cuisine	[]	n.m. 厨师长(领班)
chef de rang	[]	n.m. 前厅的侍应领班
chef-d'œuvre	[∫εdœvr]	n.m. 杰作，精品
